code,team_id,team_name,team_short_name,unavailable,pulse_id,event_id,fixture_id,fixture_difficulty,opponent_team,opponent_score,team_score,Game_played,is_home
7,2,Aston Villa,AVL,False,2,17,163.0,3.0,4.0,,,False,False
91,3,Bournemouth,BOU,False,127,17,162.0,2.0,12.0,,,False,True
94,4,Brentford,BRE,False,130,17,163.0,3.0,2.0,,,False,True
36,5,Brighton,BHA,False,131,17,161.0,4.0,1.0,,,False,False
90,6,Burnley,BUR,False,43,17,164.0,2.0,9.0,,,False,True
8,7,Chelsea,CHE,False,4,17,165.0,2.0,17.0,,,False,True
31,8,Crystal Palace,CRY,False,6,17,167.0,5.0,13.0,,,False,False
11,9,Everton,EVE,False,7,17,164.0,2.0,6.0,,,False,False
54,10,Fulham,FUL,False,34,17,168.0,4.0,15.0,,,False,False
14,11,Liverpool,LIV,False,10,17,166.0,3.0,14.0,,,False,True
